|10.4||21.5||4.5||3.1||1.2|

**********Metodo Bolha**********
|10.4||4.5||3.1||1.2||21.5|
|4.5||3.1||1.2||10.4||21.5|
|3.1||1.2||4.5||10.4||21.5|
|1.2||3.1||4.5||10.4||21.5|
|1.2||3.1||4.5||10.4||21.5|

----------Metodo Insercao----------
|10.4||21.5||4.5||3.1||1.2|
|10.4||21.5||4.5||3.1||1.2|
|4.5||10.4||21.5||3.1||1.2|
|3.1||4.5||10.4||21.5||1.2|
|1.2||3.1||4.5||10.4||21.5|
|1.2||3.1||4.5||10.4||21.5|

>>>>>>>>>>Metodo Selecao<<<<<<<<<<
|10.4||21.5||4.5||3.1||1.2|
|1.2||21.5||4.5||3.1||10.4|
|1.2||3.1||4.5||21.5||10.4|
|1.2||3.1||4.5||21.5||10.4|
|1.2||3.1||4.5||10.4||21.5|
|1.2||3.1||4.5||10.4||21.5|
|1.2||3.1||4.5||10.4||21.5|
